nohup: ignoring input
[Resume] Loaded weights from soul_ichigo.pth!
=== Kamen Fight RL Trainer ===
Device: cpu | Games: 7800 | Roster Pool: ['nigo', 'v3', 'riderman', 'x', 'amazon']
------------------------------------------------------------
Battles: 221/7800 | Vs: v3       | Win Rate (Last 50):  10.0% | Speed: 8,402 steps/s (155 fights/min) | Elapsed: 85.5s
Battles: 224/7800 | Vs: amazon   | Win Rate (Last 50):  10.0% | Speed: 8,410 steps/s (155 fights/min) | Elapsed: 86.6s
Battles: 227/7800 | Vs: riderman | Win Rate (Last 50):  10.0% | Speed: 8,412 steps/s (155 fights/min) | Elapsed: 87.8s
Battles: 230/7800 | Vs: nigo     | Win Rate (Last 50):   8.0% | Speed: 8,410 steps/s (155 fights/min) | Elapsed: 89.0s
Battles: 233/7800 | Vs: x        | Win Rate (Last 50):   6.0% | Speed: 8,397 steps/s (154 fights/min) | Elapsed: 90.4s
Battles: 236/7800 | Vs: v3       | Win Rate (Last 50):   6.0% | Speed: 8,401 steps/s (154 fights/min) | Elapsed: 91.6s
Battles: 239/7800 | Vs: amazon   | Win Rate (Last 50):   6.0% | Speed: 8,405 steps/s (154 fights/min) | Elapsed: 92.7s
Battles: 242/7800 | Vs: riderman | Win Rate (Last 50):   6.0% | Speed: 8,409 steps/s (154 fights/min) | Elapsed: 93.8s
Battles: 245/7800 | Vs: nigo     | Win Rate (Last 50):   4.0% | Speed: 8,402 steps/s (154 fights/min) | Elapsed: 95.1s
Battles: 248/7800 | Vs: x        | Win Rate (Last 50):   4.0% | Speed: 8,408 steps/s (154 fights/min) | Elapsed: 96.2s
Battles: 251/7800 | Vs: v3       | Win Rate (Last 50):   2.0% | Speed: 8,412 steps/s (154 fights/min) | Elapsed: 97.4s
Battles: 254/7800 | Vs: amazon   | Win Rate (Last 50):   0.0% | Speed: 8,414 steps/s (154 fights/min) | Elapsed: 98.4s
Battles: 257/7800 | Vs: riderman | Win Rate (Last 50):   2.0% | Speed: 8,417 steps/s (154 fights/min) | Elapsed: 99.5s
Battles: 260/7800 | Vs: nigo     | Win Rate (Last 50):   4.0% | Speed: 8,400 steps/s (154 fights/min) | Elapsed: 100.8s
Battles: 263/7800 | Vs: x        | Win Rate (Last 50):   4.0% | Speed: 8,403 steps/s (154 fights/min) | Elapsed: 101.9s
Battles: 266/7800 | Vs: v3       | Win Rate (Last 50):   4.0% | Speed: 8,406 steps/s (154 fights/min) | Elapsed: 103.0s
Battles: 269/7800 | Vs: amazon   | Win Rate (Last 50):   6.0% | Speed: 8,409 steps/s (155 fights/min) | Elapsed: 104.1s
Battles: 272/7800 | Vs: riderman | Win Rate (Last 50):   6.0% | Speed: 8,411 steps/s (155 fights/min) | Elapsed: 105.2s
Battles: 275/7800 | Vs: nigo     | Win Rate (Last 50):   6.0% | Speed: 8,408 steps/s (155 fights/min) | Elapsed: 106.4s
Battles: 278/7800 | Vs: x        | Win Rate (Last 50):   6.0% | Speed: 8,411 steps/s (155 fights/min) | Elapsed: 107.5s
Battles: 281/7800 | Vs: v3       | Win Rate (Last 50):   8.0% | Speed: 8,412 steps/s (155 fights/min) | Elapsed: 108.7s
Battles: 284/7800 | Vs: amazon   | Win Rate (Last 50):   8.0% | Speed: 8,412 steps/s (154 fights/min) | Elapsed: 109.9s
Battles: 287/7800 | Vs: riderman | Win Rate (Last 50):   8.0% | Speed: 8,403 steps/s (154 fights/min) | Elapsed: 111.1s
Battles: 290/7800 | Vs: nigo     | Win Rate (Last 50):  10.0% | Speed: 8,403 steps/s (155 fights/min) | Elapsed: 112.2s
Battles: 293/7800 | Vs: x        | Win Rate (Last 50):  10.0% | Speed: 8,398 steps/s (154 fights/min) | Elapsed: 113.5s
Battles: 296/7800 | Vs: v3       | Win Rate (Last 50):  10.0% | Speed: 8,403 steps/s (154 fights/min) | Elapsed: 114.6s
Battles: 299/7800 | Vs: amazon   | Win Rate (Last 50):  10.0% | Speed: 8,403 steps/s (154 fights/min) | Elapsed: 115.9s
Battles: 302/7800 | Vs: riderman | Win Rate (Last 50):  10.0% | Speed: 8,398 steps/s (154 fights/min) | Elapsed: 117.2s
Battles: 305/7800 | Vs: nigo     | Win Rate (Last 50):  12.0% | Speed: 8,397 steps/s (154 fights/min) | Elapsed: 118.4s
Battles: 308/7800 | Vs: x        | Win Rate (Last 50):  10.0% | Speed: 8,402 steps/s (154 fights/min) | Elapsed: 119.5s
Battles: 311/7800 | Vs: v3       | Win Rate (Last 50):  10.0% | Speed: 8,400 steps/s (154 fights/min) | Elapsed: 120.7s
Battles: 314/7800 | Vs: amazon   | Win Rate (Last 50):  12.0% | Speed: 8,392 steps/s (154 fights/min) | Elapsed: 122.0s
Battles: 317/7800 | Vs: riderman | Win Rate (Last 50):  12.0% | Speed: 8,389 steps/s (154 fights/min) | Elapsed: 123.2s
Battles: 320/7800 | Vs: nigo     | Win Rate (Last 50):  10.0% | Speed: 8,391 steps/s (154 fights/min) | Elapsed: 124.3s
Battles: 323/7800 | Vs: x        | Win Rate (Last 50):  10.0% | Speed: 8,392 steps/s (154 fights/min) | Elapsed: 125.4s
Battles: 326/7800 | Vs: v3       | Win Rate (Last 50):  10.0% | Speed: 8,394 steps/s (154 fights/min) | Elapsed: 126.5s
Battles: 329/7800 | Vs: amazon   | Win Rate (Last 50):  10.0% | Speed: 8,396 steps/s (154 fights/min) | Elapsed: 127.7s
Battles: 332/7800 | Vs: riderman | Win Rate (Last 50):   8.0% | Speed: 8,392 steps/s (154 fights/min) | Elapsed: 128.9s
Battles: 335/7800 | Vs: nigo     | Win Rate (Last 50):  10.0% | Speed: 8,395 steps/s (154 fights/min) | Elapsed: 130.1s
Battles: 338/7800 | Vs: x        | Win Rate (Last 50):  10.0% | Speed: 8,396 steps/s (154 fights/min) | Elapsed: 131.2s
Battles: 341/7800 | Vs: v3       | Win Rate (Last 50):   8.0% | Speed: 8,388 steps/s (154 fights/min) | Elapsed: 132.4s
Battles: 344/7800 | Vs: amazon   | Win Rate (Last 50):   8.0% | Speed: 8,385 steps/s (154 fights/min) | Elapsed: 133.6s
Battles: 347/7800 | Vs: riderman | Win Rate (Last 50):   8.0% | Speed: 8,387 steps/s (154 fights/min) | Elapsed: 134.8s
Battles: 350/7800 | Vs: nigo     | Win Rate (Last 50):   8.0% | Speed: 8,388 steps/s (154 fights/min) | Elapsed: 135.8s
Battles: 353/7800 | Vs: x        | Win Rate (Last 50):   8.0% | Speed: 8,390 steps/s (154 fights/min) | Elapsed: 137.0s
Battles: 356/7800 | Vs: v3       | Win Rate (Last 50):   6.0% | Speed: 8,393 steps/s (154 fights/min) | Elapsed: 138.1s
Battles: 359/7800 | Vs: amazon   | Win Rate (Last 50):   4.0% | Speed: 8,383 steps/s (154 fights/min) | Elapsed: 139.5s
Battles: 362/7800 | Vs: riderman | Win Rate (Last 50):   4.0% | Speed: 8,383 steps/s (154 fights/min) | Elapsed: 140.6s
Battles: 365/7800 | Vs: nigo     | Win Rate (Last 50):   2.0% | Speed: 8,378 steps/s (154 fights/min) | Elapsed: 141.9s
Battles: 368/7800 | Vs: x        | Win Rate (Last 50):   2.0% | Speed: 8,380 steps/s (154 fights/min) | Elapsed: 143.1s
Battles: 371/7800 | Vs: v3       | Win Rate (Last 50):   2.0% | Speed: 8,379 steps/s (154 fights/min) | Elapsed: 144.4s
Battles: 374/7800 | Vs: amazon   | Win Rate (Last 50):   4.0% | Speed: 8,377 steps/s (154 fights/min) | Elapsed: 145.5s
Battles: 377/7800 | Vs: riderman | Win Rate (Last 50):   4.0% | Speed: 8,377 steps/s (154 fights/min) | Elapsed: 146.6s
Battles: 380/7800 | Vs: nigo     | Win Rate (Last 50):   4.0% | Speed: 8,380 steps/s (154 fights/min) | Elapsed: 147.6s
Battles: 383/7800 | Vs: x        | Win Rate (Last 50):   4.0% | Speed: 8,378 steps/s (154 fights/min) | Elapsed: 148.8s
Battles: 386/7800 | Vs: v3       | Win Rate (Last 50):   2.0% | Speed: 8,379 steps/s (154 fights/min) | Elapsed: 149.9s
Battles: 389/7800 | Vs: amazon   | Win Rate (Last 50):   2.0% | Speed: 8,376 steps/s (154 fights/min) | Elapsed: 151.3s
Battles: 392/7800 | Vs: riderman | Win Rate (Last 50):   2.0% | Speed: 8,371 steps/s (154 fights/min) | Elapsed: 152.5s
Battles: 395/7800 | Vs: nigo     | Win Rate (Last 50):   2.0% | Speed: 8,371 steps/s (154 fights/min) | Elapsed: 153.7s
Battles: 398/7800 | Vs: x        | Win Rate (Last 50):   2.0% | Speed: 8,374 steps/s (154 fights/min) | Elapsed: 154.7s
Battles: 401/7800 | Vs: v3       | Win Rate (Last 50):   2.0% | Speed: 8,367 steps/s (154 fights/min) | Elapsed: 155.9s
Battles: 404/7800 | Vs: amazon   | Win Rate (Last 50):   4.0% | Speed: 8,369 steps/s (154 fights/min) | Elapsed: 156.9s
Battles: 407/7800 | Vs: riderman | Win Rate (Last 50):   4.0% | Speed: 8,372 steps/s (154 fights/min) | Elapsed: 158.0s
Battles: 410/7800 | Vs: nigo     | Win Rate (Last 50):   4.0% | Speed: 8,370 steps/s (154 fights/min) | Elapsed: 159.2s
Battles: 413/7800 | Vs: x        | Win Rate (Last 50):   4.0% | Speed: 8,373 steps/s (154 fights/min) | Elapsed: 160.3s
Battles: 416/7800 | Vs: v3       | Win Rate (Last 50):   6.0% | Speed: 8,368 steps/s (154 fights/min) | Elapsed: 161.6s
Battles: 419/7800 | Vs: amazon   | Win Rate (Last 50):   6.0% | Speed: 8,363 steps/s (154 fights/min) | Elapsed: 162.7s
Battles: 422/7800 | Vs: riderman | Win Rate (Last 50):   6.0% | Speed: 8,363 steps/s (154 fights/min) | Elapsed: 163.9s
Battles: 425/7800 | Vs: nigo     | Win Rate (Last 50):   4.0% | Speed: 8,365 steps/s (154 fights/min) | Elapsed: 164.9s
